time,bench
73.4,114
73.5,117
73.6,127
73.7,118
73.8,119
74.0,121
74.1,113
74.2,120
74.3,126
74.4,120
74.6,119
74.7,119
74.8,112
74.9,127
75.0,120
75.2,119
75.3,113
75.4,120
75.5,120
75.6,119
75.8,126
75.9,119
76.0,109
76.1,119
76.2,131
76.4,112
76.5,122
76.6,122
76.7,123
76.8,119
77.0,121
77.1,113
77.2,126
77.3,113
77.4,120
77.6,116
77.7,121
77.8,126
77.9,113
78.0,128
78.2,119
78.3,119
78.4,113
78.5,125
78.6,119
78.8,119
78.9,109
79.0,124
79.1,125
79.2,112
79.4,120
79.5,126
79.6,112
79.7,118
79.8,126
80.0,119
80.1,118
80.2,111
80.3,121
80.4,125
80.6,119
80.7,119
80.8,114
80.9,126
81.0,112
81.1,120
81.3,120
81.4,115
81.5,128
81.6,112
81.8,127
81.9,114
82.0,115
82.1,122
82.2,120
82.3,119
82.5,124
82.6,117
82.7,116
82.8,126
82.9,111
83.1,119
83.2,127
83.3,119
83.4,119
83.6,119
83.7,114
83.8,127
83.9,113
84.0,119
84.2,127
84.3,110
84.4,122
84.5,122
84.6,125
84.8,117
84.9,116
85.0,126
85.1,111
85.2,118
85.3,122
85.5,121
85.6,120
85.7,125
85.8,123
86.0,115
86.1,118
86.2,120
86.3,127
86.4,108
86.6,125
86.7,125
86.8,122
86.9,115
87.0,122
87.2,127
87.3,119
87.4,113
87.5,121
87.6,126
87.8,120
87.9,120
88.0,121
88.1,120
88.2,117
88.4,125
88.5,114
88.6,118
88.7,130
88.9,120
89.0,120
89.1,120
89.2,114
89.3,126
89.5,112
89.6,123
89.7,130
89.8,120
89.9,113
90.1,127
90.2,120
90.3,120
90.4,114
90.5,119
90.7,127
90.8,120
90.9,120
91.0,111
91.1,120
91.3,130
91.4,120
91.5,118
91.6,116
91.8,126
91.9,120
92.0,111
92.1,123
92.2,126
92.4,120
92.5,109
92.6,125
92.7,127
92.8,121
93.0,120
93.1,115
93.2,126
93.3,120
93.4,113
93.6,121
93.7,128
